album_name,album_id,release_date,total_tracks,track_name,track_id,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Tippa My Tongue,7BCxIjRsqbc9Yiy2haBCIK,4.3468,,0.573,0.913,5,-6.52,0,0.0409,0.00861,0.0273,0.114,0.795,88.418,audio_features,7BCxIjRsqbc9Yiy2haBCIK,spotify:track:7BCxIjRsqbc9Yiy2haBCIK,https://api.spotify.com/v1/tracks/7BCxIjRsqbc9Yiy2haBCIK,https://api.spotify.com/v1/audio-analysis/7BCxIjRsqbc9Yiy2haBCIK,260810,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Peace and Love,3W2reBya7FkjHCP1B2nmQr,4.053733333333334,,0.68,0.679,10,-6.076,1,0.0423,0.00495,0.00861,0.0953,0.867,83.821,audio_features,3W2reBya7FkjHCP1B2nmQr,spotify:track:3W2reBya7FkjHCP1B2nmQr,https://api.spotify.com/v1/tracks/3W2reBya7FkjHCP1B2nmQr,https://api.spotify.com/v1/audio-analysis/3W2reBya7FkjHCP1B2nmQr,243224,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Reach Out,00B7SBwrjbycLMOgAmeIU8,4.193133333333333,,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,audio_features,00B7SBwrjbycLMOgAmeIU8,spotify:track:00B7SBwrjbycLMOgAmeIU8,https://api.spotify.com/v1/tracks/00B7SBwrjbycLMOgAmeIU8,https://api.spotify.com/v1/audio-analysis/00B7SBwrjbycLMOgAmeIU8,251589,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Eddie,0G1BEi8ByngMCJqcPnDACw,5.699766666666667,,0.515,0.809,9,-5.817,0,0.0512,0.00455,0.0723,0.0905,0.525,142.011,audio_features,0G1BEi8ByngMCJqcPnDACw,spotify:track:0G1BEi8ByngMCJqcPnDACw,https://api.spotify.com/v1/tracks/0G1BEi8ByngMCJqcPnDACw,https://api.spotify.com/v1/audio-analysis/0G1BEi8ByngMCJqcPnDACw,341986,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Fake as Fu@k,7cpC2EuFMexgy392K13RZb,4.372883333333333,,0.599,0.777,8,-6.037,0,0.0922,0.0355,0.00301,0.0936,0.401,132.252,audio_features,7cpC2EuFMexgy392K13RZb,spotify:track:7cpC2EuFMexgy392K13RZb,https://api.spotify.com/v1/tracks/7cpC2EuFMexgy392K13RZb,https://api.spotify.com/v1/audio-analysis/7cpC2EuFMexgy392K13RZb,262373,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Bella,2dbA4sPwu3iK72c0mA6907,4.855766666666667,,0.492,0.815,7,-5.499,0,0.0487,0.00643,2e-05,0.0875,0.812,171.379,audio_features,2dbA4sPwu3iK72c0mA6907,spotify:track:2dbA4sPwu3iK72c0mA6907,https://api.spotify.com/v1/tracks/2dbA4sPwu3iK72c0mA6907,https://api.spotify.com/v1/audio-analysis/2dbA4sPwu3iK72c0mA6907,291347,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Roulette,5kFWp8In0sIpeXPfPuJlYE,4.95175,,0.689,0.869,1,-6.688,0,0.0511,0.00242,0.00339,0.127,0.84,100.684,audio_features,5kFWp8In0sIpeXPfPuJlYE,spotify:track:5kFWp8In0sIpeXPfPuJlYE,https://api.spotify.com/v1/tracks/5kFWp8In0sIpeXPfPuJlYE,https://api.spotify.com/v1/audio-analysis/5kFWp8In0sIpeXPfPuJlYE,297105,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,My Cigarette,05bNuygSyh9WlJTRepNiDp,4.40345,,0.732,0.653,7,-7.804,0,0.0427,0.0158,0.295,0.0851,0.848,178.058,audio_features,05bNuygSyh9WlJTRepNiDp,spotify:track:05bNuygSyh9WlJTRepNiDp,https://api.spotify.com/v1/tracks/05bNuygSyh9WlJTRepNiDp,https://api.spotify.com/v1/audio-analysis/05bNuygSyh9WlJTRepNiDp,264208,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Afterlife,4diMr8l7HCK1OdrQM3LAzq,4.23835,,0.561,0.866,2,-5.258,0,0.0352,0.00623,0.039,0.0414,0.824,93.104,audio_features,4diMr8l7HCK1OdrQM3LAzq,spotify:track:4diMr8l7HCK1OdrQM3LAzq,https://api.spotify.com/v1/tracks/4diMr8l7HCK1OdrQM3LAzq,https://api.spotify.com/v1/audio-analysis/4diMr8l7HCK1OdrQM3LAzq,254301,4
Return of the Dream Canteen,0KJc9ksnoJJsdpQxV3z5i1,2022-10-14,17,Shoot Me a Smile,2AHctrKhJekyp7wIykP83U,3.712283333333333,,0.576,0.798,9,-6.691,0,0.0351,0.125,0.134,0.137,0.399,146.8,audio_features,2AHctrKhJekyp7wIykP83U,spotify:track:2AHctrKhJekyp7wIykP83U,https://api.spotify.com/v1/tracks/2AHctrKhJekyp7wIykP83U,https://api.spotify.com/v1/audio-analysis/2AHctrKhJekyp7wIykP83U,222737,4
