album_name,album_id,release_date,total_tracks,track_name,track_id,duration_min,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Shayad (From ""Love Aaj Kal"")",5ieAPqywBwvlpOXyfj6H2E,4.13235,,0.486,0.456,8,-7.143,1,0.0319,0.793,1.7e-06,0.141,0.346,136.085,audio_features,5ieAPqywBwvlpOXyfj6H2E,spotify:track:5ieAPqywBwvlpOXyfj6H2E,https://api.spotify.com/v1/tracks/5ieAPqywBwvlpOXyfj6H2E,https://api.spotify.com/v1/audio-analysis/5ieAPqywBwvlpOXyfj6H2E,247941,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]",1KDJ3fkr07ZE11X8ceC40u,6.64665,,0.299,0.359,0,-7.567,1,0.0297,0.844,0.0,0.132,0.205,103.842,audio_features,1KDJ3fkr07ZE11X8ceC40u,spotify:track:1KDJ3fkr07ZE11X8ceC40u,https://api.spotify.com/v1/tracks/1KDJ3fkr07ZE11X8ceC40u,https://api.spotify.com/v1/audio-analysis/1KDJ3fkr07ZE11X8ceC40u,398799,3
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Channa Mereya (From ""Ae Dil Hai Mushkil"")",3PrxpfaQPZfTGVnJEUHoNu,4.822216666666667,,0.474,0.786,9,-4.819,0,0.0452,0.241,3.08e-05,0.106,0.735,90.127,audio_features,3PrxpfaQPZfTGVnJEUHoNu,spotify:track:3PrxpfaQPZfTGVnJEUHoNu,https://api.spotify.com/v1/tracks/3PrxpfaQPZfTGVnJEUHoNu,https://api.spotify.com/v1/audio-analysis/3PrxpfaQPZfTGVnJEUHoNu,289333,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Pal (From ""Jalebi"")",4oCCEE3wFWydKb2LhBsyHn,4.121433333333333,,0.511,0.501,7,-7.015,0,0.0324,0.713,0.0,0.0708,0.324,133.878,audio_features,4oCCEE3wFWydKb2LhBsyHn,spotify:track:4oCCEE3wFWydKb2LhBsyHn,https://api.spotify.com/v1/tracks/4oCCEE3wFWydKb2LhBsyHn,https://api.spotify.com/v1/audio-analysis/4oCCEE3wFWydKb2LhBsyHn,247286,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",0qwjvxGsEIdnFDCtICCH40,4.483866666666667,,0.517,0.654,3,-6.649,0,0.0601,0.719,1.14e-06,0.165,0.368,123.968,audio_features,0qwjvxGsEIdnFDCtICCH40,spotify:track:0qwjvxGsEIdnFDCtICCH40,https://api.spotify.com/v1/tracks/0qwjvxGsEIdnFDCtICCH40,https://api.spotify.com/v1/audio-analysis/0qwjvxGsEIdnFDCtICCH40,269032,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Hawayein (From ""Jab Harry Met Sejal"")",7COtUHLKtQk3ZS9UODELIm,4.833316666666667,,0.605,0.599,2,-5.577,1,0.0282,0.801,0.000485,0.127,0.446,125.972,audio_features,7COtUHLKtQk3ZS9UODELIm,spotify:track:7COtUHLKtQk3ZS9UODELIm,https://api.spotify.com/v1/tracks/7COtUHLKtQk3ZS9UODELIm,https://api.spotify.com/v1/audio-analysis/7COtUHLKtQk3ZS9UODELIm,289999,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Samjhawan (From ""Humpty Sharma Ki Dulhania"")",0OpK6yAPijNR43mAHmxbQY,4.463333333333333,,0.651,0.488,4,-8.666,1,0.0283,0.292,0.0,0.083,0.533,106.985,audio_features,0OpK6yAPijNR43mAHmxbQY,spotify:track:0OpK6yAPijNR43mAHmxbQY,https://api.spotify.com/v1/tracks/0OpK6yAPijNR43mAHmxbQY,https://api.spotify.com/v1/audio-analysis/0OpK6yAPijNR43mAHmxbQY,267800,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Bandeya (From ""Dil Juunglee"") - From ""Dil Juunglee""",6KTY9UK0Dump7jV5V0YtB8,3.0777666666666668,,0.626,0.528,7,-6.586,1,0.032,0.641,9.1e-06,0.11,0.383,89.864,audio_features,6KTY9UK0Dump7jV5V0YtB8,spotify:track:6KTY9UK0Dump7jV5V0YtB8,https://api.spotify.com/v1/tracks/6KTY9UK0Dump7jV5V0YtB8,https://api.spotify.com/v1/audio-analysis/6KTY9UK0Dump7jV5V0YtB8,184666,4
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Khamoshiyan (From ""Khamoshiyan"")",73Sv9vCmYnc8lwPMIXR580,5.5953333333333335,,0.524,0.52,2,-6.838,0,0.0272,0.643,0.0,0.158,0.259,143.885,audio_features,73Sv9vCmYnc8lwPMIXR580,spotify:track:73Sv9vCmYnc8lwPMIXR580,https://api.spotify.com/v1/tracks/73Sv9vCmYnc8lwPMIXR580,https://api.spotify.com/v1/audio-analysis/73Sv9vCmYnc8lwPMIXR580,335720,3
Arijit Singh Top Sad Love Hits,0os2iPNHyo2yBFi4A8RKXB,2024-04-26,17,"Bolna (From ""Kapoor & Sons (Since 1921)"")",2grxki3OLhO6VvmxjBgjIT,3.5472,,0.486,0.403,5,-7.0,1,0.0272,0.597,5.13e-06,0.434,0.508,131.513,audio_features,2grxki3OLhO6VvmxjBgjIT,spotify:track:2grxki3OLhO6VvmxjBgjIT,https://api.spotify.com/v1/tracks/2grxki3OLhO6VvmxjBgjIT,https://api.spotify.com/v1/audio-analysis/2grxki3OLhO6VvmxjBgjIT,212832,3
